DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83312,252,1,1,1,1,1,,1,1,,1,,2,1
83312,252,1,2,4,2,1,,1,1,,1,,1,2
83313,252,1,1,4,2,1,,1,1,,1,,1,2
83313,252,1,2,1,1,1,,1,1,,1,,2,1
83314,252,1,1,1,1,1,,1,1,,1,,2,1
83314,252,1,2,1,1,1,,1,1,,1,,2,1
83315,252,1,1,1,2,1,,1,1,,1,,2,1
83315,252,1,2,4,1,1,,1,1,,1,,1,2
83316,252,1,1,4,2,1,,1,1,,1,,1,2
83316,252,1,2,1,1,1,,1,1,,1,,2,1
83316,252,1,3,3,1,1,,1,1,,1,,2,1
83316,252,1,4,4,2,1,,1,1,,1,,1,2
83317,252,1,1,1,1,1,,1,2,,1,,2,1
83317,252,1,2,4,2,1,,1,2,,1,,1,2
83318,252,1,1,4,2,1,,1,1,,1,,1,2
83318,252,1,2,1,1,1,,1,1,,1,,2,1
83319,252,1,1,2,2,2,2,1,1,,1,,2,1
83319,252,1,2,4,2,1,,1,1,,1,,1,2
83320,252,1,1,1,1,1,,1,1,,1,,2,1
83321,252,1,1,4,1,1,,1,1,,1,,1,2
83321,252,1,2,4,1,1,,1,1,,1,,1,2
83322,252,1,1,1,99,2,2,2,1,,1,,2,1
83323,252,1,1,3,99,2,2,2,1,,1,,1,2
83324,252,1,1,1,99,2,2,2,1,,1,,1,2
83324,252,1,2,1,99,2,2,2,1,,1,,2,1
83324,252,1,5,5,99,2,2,2,1,,1,,2,1
83325,252,1,1,5,99,2,2,2,1,,1,,2,1
83325,252,1,2,1,99,2,2,2,1,,1,,2,1
83326,252,1,1,1,99,2,2,2,1,,1,,2,1
83326,252,1,2,4,99,2,2,2,1,,1,,1,2
83327,252,1,1,1,99,2,2,2,1,,1,,1,2
83328,252,1,1,4,99,2,2,2,1,,1,,1,2
83328,252,1,2,2,99,2,2,2,1,,1,,2,1
83329,252,1,1,1,1,2,2,2,1,,1,,1,2
83330,252,1,1,1,1,2,2,2,1,,1,,1,2
83330,252,1,2,1,1,2,2,2,1,,1,,2,1
83331,252,1,1,2,1,2,2,2,1,,1,,1,2
83331,252,1,2,2,1,2,2,2,1,,1,,2,1
83332,252,1,1,1,1,2,2,2,1,,1,,2,1
83332,252,1,2,4,2,2,2,2,1,,1,,1,2
83333,252,1,1,4,1,2,2,2,1,,1,,2,1
83334,252,1,1,4,2,2,2,2,1,,1,,1,2
83335,252,1,1,2,2,2,2,2,1,,1,,2,1
83335,252,1,2,4,2,2,2,2,1,,1,,1,2
83335,252,1,3,3,2,2,2,2,1,,1,,1,2
83336,252,1,1,4,2,2,2,2,1,,1,,1,2
83336,252,1,2,2,2,2,2,2,1,,1,,2,1
83336,252,1,3,4,2,2,2,2,1,,1,,1,2
83336,252,1,4,2,2,2,2,2,1,,1,,2,1
83336,252,1,5,2,2,2,2,2,1,,1,,1,2
83337,252,1,1,4,2,2,2,2,1,,1,,1,2
83337,252,1,2,2,2,2,2,2,1,,1,,2,1
83338,252,1,1,4,2,2,2,2,1,,1,,1,2
83338,252,1,2,2,2,2,2,2,1,,1,,2,1
83338,252,1,3,4,2,2,2,2,1,,1,,1,2
83338,252,1,4,4,2,2,2,2,1,,1,,1,2
83338,252,1,5,3,2,2,2,2,1,,1,,2,1
83338,252,1,6,3,2,2,2,2,1,,1,,1,2
83338,252,1,7,2,2,2,2,2,1,,1,,1,2
83339,252,1,1,4,2,2,2,2,1,,1,,1,2
83339,252,1,2,1,99,2,2,2,1,,1,,2,1
83339,252,1,3,2,2,2,2,2,1,,1,,2,1
83339,252,1,4,1,1,2,2,2,1,,1,,1,2
83339,252,1,5,2,2,2,2,2,1,,1,,1,2
83340,252,1,1,4,2,2,2,2,1,,1,,1,2
83340,252,1,2,2,2,2,2,2,1,,1,,2,1
83340,252,1,3,2,2,2,2,2,1,,1,,1,2
83340,252,1,4,1,1,2,2,2,1,,1,,2,1
83340,252,1,5,1,1,2,2,2,1,,1,,1,2
83340,252,1,6,2,2,2,2,2,1,,1,,2,1
83340,252,1,8,5,2,2,2,2,1,,1,,1,2
83341,252,1,1,5,2,2,2,2,1,,1,,1,2
83341,252,1,2,1,1,2,2,2,1,,1,,1,2
83342,252,1,1,1,1,2,2,2,1,,1,,2,1
83342,252,1,2,1,1,2,2,2,1,,1,,1,2
83342,252,1,3,4,2,2,2,2,1,,1,,1,2
83343,252,1,1,1,1,2,2,2,1,,1,,1,2
83343,252,1,2,1,1,2,2,1,1,,1,,2,1
83344,252,1,1,1,1,2,2,2,1,,1,,1,2
83344,252,1,2,1,1,2,2,2,1,,1,,1,2
83345,252,1,1,5,2,2,2,2,1,,1,,1,2
83345,252,1,2,1,1,2,2,2,1,,1,,1,2
83346,252,1,1,1,1,2,2,2,1,,1,,2,1
83346,252,1,2,4,2,2,2,2,1,,1,,1,2
83346,252,1,3,3,2,2,2,2,1,,1,,1,2
83347,252,1,1,1,1,2,2,2,1,,1,,1,2
83347,252,1,2,1,1,2,2,2,1,,1,,2,1
83348,252,1,1,1,1,2,2,2,1,,1,,1,2
83348,252,1,2,3,2,2,2,2,1,,1,,1,2
83349,252,1,1,4,2,2,2,2,1,,1,,1,2
83349,252,1,2,1,1,2,2,2,1,,1,,2,1
83350,252,1,1,2,2,2,2,2,1,,1,,2,1
83350,252,1,2,1,1,2,2,2,1,,1,,1,2
83351,252,1,1,4,2,2,2,2,1,,1,,1,2
83351,252,1,2,1,1,2,2,2,1,,1,,2,1
83351,252,1,3,1,1,2,2,2,1,,1,,2,1
83351,252,1,4,2,2,2,2,2,1,,1,,2,1
