DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83433,2,,2,1,1,1,1,1,1,2,1,2,1,1,621.54808274,
83434,2,,2,1,1,1,1,1,1,2,1,2,1,1,640.45867843,
83435,2,,2,1,1,1,1,1,1,2,1,2,1,1,620.28325815,
83436,2,,2,1,1,1,1,1,1,2,1,2,1,1,709.65494636,
83437,2,,2,1,1,2,1,1,1,2,1,2,1,1,575.09154955,
83438,2,,2,1,1,1,1,1,2,2,1,2,1,1,529.02757696,
83439,2,,2,1,1,1,1,1,1,2,1,2,1,2,518.44330259,
83440,2,,2,1,1,1,1,1,1,2,1,2,1,1,658.73686183,
83441,2,,2,1,1,1,1,1,1,2,1,2,1,1,598.22384488,
83442,2,,2,1,1,2,1,1,1,2,1,2,1,1,640.45867843,
83443,2,,2,1,1,1,1,1,1,2,1,2,1,1,621.54808274,
83444,2,,2,1,1,2,1,1,1,2,1,2,1,1,641.09109072,
83445,2,,2,1,1,1,1,1,1,2,1,2,1,1,594.68875874,
83446,2,,2,1,1,1,1,1,1,1,1,3,1,1,129.073268,
83447,2,,2,1,1,1,1,1,1,1,1,3,1,1,214.3593479,
83448,2,,2,1,1,1,1,1,1,1,1,3,1,1,337.99900669,
83449,2,,2,1,1,1,1,1,1,1,1,3,1,1,359.80010931,
83450,2,,2,1,1,1,1,1,1,1,1,3,1,1,230.936719,
83451,2,,2,1,1,1,1,1,1,1,1,3,1,1,315.18562743,
83452,2,,2,1,1,1,1,1,1,1,1,3,1,1,385.99622941,
83453,2,,2,1,1,1,1,1,1,1,1,3,1,1,322.36373182,
83454,2,,2,1,1,2,1,1,1,1,1,3,1,1,335.23773774,
83455,2,,2,1,1,1,1,1,1,1,1,3,1,1,472.26888203,
83456,2,,2,1,1,1,1,1,1,1,1,3,1,1,359.69860124,
83457,2,,2,1,1,1,1,1,1,1,1,3,1,1,475.19543235,
83458,2,,2,1,1,1,1,1,1,1,1,3,1,1,501.92439878,
83459,2,,2,1,1,1,1,1,1,1,1,3,1,1,456.42761418,
83460,2,,2,1,1,1,1,1,1,1,1,3,1,1,472.77844115,
83461,2,,2,1,1,1,1,1,1,1,1,3,1,1,448.69638288,
83462,2,,2,1,1,1,1,1,1,1,1,3,1,1,445.15089847,
83463,2,,2,1,1,1,1,1,2,1,1,3,2,1,529.04238234,
83464,2,,2,1,1,1,1,1,1,1,1,3,1,1,448.69638288,
83465,2,,2,1,1,1,1,1,1,1,1,3,1,1,327.06905203,
83466,2,,2,1,1,1,1,2,1,1,1,3,1,1,191.78092068,
83467,2,,2,1,1,2,1,2,1,1,1,3,1,1,189.07472802,
83468,2,,2,1,1,2,1,2,1,1,1,3,1,1,246.40601843,
83470,2,,2,1,1,2,1,2,1,1,1,3,1,1,246.34768512,
83472,2,,2,1,1,2,1,2,1,1,1,3,1,1,271.64846176,
83473,2,,2,1,1,1,1,2,1,1,1,3,1,1,255.31725161,
83475,2,,2,1,1,1,1,2,1,1,1,3,1,1,224.49454865,
83476,2,,2,1,1,1,1,2,1,1,1,3,1,1,335.23773774,
83477,2,,2,1,1,2,1,2,1,1,1,3,1,1,439.93522574,
83478,2,,2,1,1,1,1,2,1,1,1,3,1,2,95.826539687,
83479,2,,2,1,1,1,1,2,1,1,1,3,1,1,150.40035183,
83480,2,,2,1,1,2,1,2,1,1,1,3,1,1,354.51511503,
83481,2,,2,1,1,2,1,2,1,1,1,3,1,1,193.80573263,
83482,2,,2,1,1,2,1,2,1,1,1,3,1,1,196.00478739,
83483,2,,2,1,1,1,1,2,1,1,1,3,1,1,111.3093474,
83484,2,,2,1,1,1,1,2,1,1,1,3,1,1,348.93144466,
83485,2,,2,1,1,2,1,2,1,1,1,3,1,1,198.37361725,
83486,2,,2,1,1,1,1,2,1,1,1,3,1,1,354.00555591,
83487,2,,2,1,1,1,1,2,1,1,1,3,1,1,348.42188553,
83488,2,,2,1,1,2,1,2,1,1,1,3,1,1,351.47918975,
83489,2,,2,1,1,2,1,2,1,1,1,3,1,1,451.24412797,
83490,2,,2,1,1,1,1,2,1,1,1,3,1,1,544.37409106,
83491,2,,2,1,1,1,1,2,1,1,1,3,1,1,190.13986462,
83492,2,,2,1,1,1,1,2,1,1,1,3,1,1,152.55300509,
83493,2,,2,1,1,1,1,2,1,1,1,3,1,1,193.58955603,
83494,2,,2,1,1,2,1,1,1,1,1,3,1,1,429.79858286,
83495,2,,2,1,1,2,1,1,1,1,1,3,1,1,380.36446597,
83496,2,,2,1,1,2,1,1,1,1,1,3,1,1,480.84818852,
83497,2,,2,1,1,2,1,1,1,1,1,3,1,1,405.60910611,
83498,2,,2,1,1,2,1,1,1,1,1,3,1,1,405.60910611,
83499,2,,2,1,1,2,1,1,1,1,1,3,1,1,415.2979985,
83500,2,,2,1,1,2,1,1,1,1,1,3,1,1,424.52365532,
83501,2,,2,1,1,2,1,1,1,1,1,3,1,1,461.37097196,
83502,2,,2,1,1,2,1,1,1,1,1,3,1,1,465.98380038,
83503,2,,2,1,1,2,1,1,1,1,1,3,1,1,465.98380038,
83504,2,,1,1,1,1,1,1,1,1,1,3,1,1,598.49100195,598.49100195
83505,2,,1,1,1,2,1,2,1,1,1,3,1,1,626.01268504,626.01268504
83506,2,,1,1,1,1,1,1,1,1,1,3,1,1,399.99808145,399.99808145
83507,2,,1,1,1,1,1,1,1,1,1,3,1,1,626.01268504,626.01268504
83508,2,,1,1,1,1,1,1,1,1,1,3,1,1,560.00247182,560.00247182
83509,2,,1,1,1,1,1,1,1,1,1,3,1,1,399.99808145,399.99808145
83510,2,,1,1,1,1,1,1,1,1,1,3,1,1,748.81012681,748.81012681
83511,2,,1,1,1,2,1,1,1,1,1,3,1,1,570.85465781,570.85465781
83512,2,,1,1,1,1,1,0,1,1,1,3,1,1,506.10727825,506.10727825
83513,2,,1,1,1,2,1,1,1,1,1,3,1,1,672.42890206,672.42890206
83514,2,,1,1,1,1,1,1,1,1,1,3,1,1,850.38437107,850.38437107
83515,2,,1,1,1,1,1,2,1,1,1,3,1,1,690.80318346,690.80318346
83516,2,,1,1,1,1,1,2,1,1,1,3,1,1,546.00241002,546.00241002
83517,2,,1,1,1,1,1,2,1,1,1,3,1,1,471.25175198,471.25175198
83518,2,,1,1,1,1,1,2,1,1,1,3,1,1,645.22747936,645.22747936
83519,2,,1,1,1,2,1,2,1,1,1,3,1,1,677.47231397,677.47231397
83520,2,,1,1,1,1,1,2,1,1,1,3,1,1,571.14542368,571.14542368
